"batch_label","batch_id","alpha2_code","jurisdiction_name","stage","next_action","assessment_status","certification_status","source_url","monitor_status","baseline_state","snapshot_id","snapshot_quality","snapshot_classification","assertion_status","assertion_id","coverage_ready","missing_gates","eligible_to_queue"
"Asia and Americas tranche 1B","1c20b390-85d9-4ce0-9e08-f6775b5f66ff","KR","Republic of Korea","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.immigration.go.kr/immigration_eng/index.do","active","pending_independent_review","f02f2f56-66ff-42e2-873f-8d7403365e7b","82","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Asia and Americas tranche 1B","1c20b390-85d9-4ce0-9e08-f6775b5f66ff","MY","Malaysia","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.imi.gov.my/","active","pending_independent_review","4d8ff30b-6d17-4889-a95c-78c16c765dad","82","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Asia and Americas tranche 1B","1c20b390-85d9-4ce0-9e08-f6775b5f66ff","CL","Chile","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://serviciomigraciones.cl/","active","pending_independent_review","27abff59-de43-4aef-8151-7087894bf578","46","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Asia and Americas tranche 1B","1c20b390-85d9-4ce0-9e08-f6775b5f66ff","PE","Peru","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.gob.pe/migraciones","active","pending_independent_review","bd37becb-b8c7-4524-bbcf-273893f108f3","35","insufficient_substantive_text","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Asia and Americas tranche 1B","1c20b390-85d9-4ce0-9e08-f6775b5f66ff","QA","Qatar","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://portal.moi.gov.qa/wps/portal/MOIInternet/services/inquiries/visaservices","active","pending_independent_review","1ad54a32-6cfe-458d-b60e-5f52c998fb87","11","insufficient_substantive_text","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2A","c697ab51-e41b-49d2-8e98-528068642184","SZ","Eswatini","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.gov.sz/index.php/ministries-departments/ministry-of-home-affairs?catid=81%3Ahome-affairs&id=307%3Aimmigration&view=article","active","pending_independent_review","bbcaadc5-772d-43e7-b5c1-c702869eb14a","95","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2A","c697ab51-e41b-49d2-8e98-528068642184","LS","Lesotho","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.homeaffairs.gov.ls/immigration/","active","pending_independent_review","16294523-4107-4caa-972b-4de3242b0d7d","94","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2A","c697ab51-e41b-49d2-8e98-528068642184","LR","Liberia","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.lis.gov.lr/","active","pending_independent_review","883b6973-0f0e-438f-8acf-ada7cc5901b1","78","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2A","c697ab51-e41b-49d2-8e98-528068642184","ZM","Zambia","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.zambiaimmigration.gov.zm/guide-on-immigration-permits-visas/","active","pending_independent_review","e6723797-3930-41d7-9605-822ac28fb570","81","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2A","c697ab51-e41b-49d2-8e98-528068642184","UG","Uganda","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.immigration.go.ug/index.php/services/visa-passes","active","pending_independent_review","cca84e4c-cd2a-4fb0-a8b9-d2cbcd0ef19d","77","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2B","db3d7b69-cff4-467c-89c1-0bd837daa9ec","NA","Namibia","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://mhaiss.gov.na/web/mhaiss/immigration-control","active","pending_independent_review","5288491a-cb73-4eac-893b-bc4537494076","84","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2B","db3d7b69-cff4-467c-89c1-0bd837daa9ec","SL","Sierra Leone","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://slid.gov.sl/","active","pending_independent_review","7d58adaa-495c-4670-bbbc-a4299e9a2bf7","89","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2B","db3d7b69-cff4-467c-89c1-0bd837daa9ec","SO","Somalia","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://immigration.gov.so/en/visa-information/","active","pending_independent_review","5558f8f2-6089-4ebb-bbb9-5e52386e4fcd","84","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2B","db3d7b69-cff4-467c-89c1-0bd837daa9ec","SN","Senegal","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://diplomatie.gouv.sn/index.php/demande-de-visa","active","pending_independent_review","07108bfb-085d-411b-8d47-cc4f8d8f0a12","74","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 2B","db3d7b69-cff4-467c-89c1-0bd837daa9ec","TZ","United Republic of Tanzania","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.immigration.go.tz/index.php/immigration-services/residence-permits","active","pending_independent_review","99690692-7ce5-4def-a18f-1532175d6582","94","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
